sep=;
;
2;3;4;67:18;
107:40;12:30:15:40;19:40;0,0;29,3;05:53;09:33;14:08;17:58
07:48;12:38;15:48;19:48;5,4;17;23,9;17;05:46;09:26;14:01;17:51
07:49;12:39;15:49;19:49;6,6;17;22,7;17;05:44;09:24;13:59;17:49
07:56;12:46;15:56;19:56;12,3;17;17,0;17;05:38;09:18;13:53;17:43
08:00;12:50;16:00;20:00;16,1;17;132;17;05:33;09:13;13:48;17:38
08:02;12:52;16:02;20:02;174;17;11,9;17;05:32;09:12;13:47;17:37,
08:04;12:54;16:04;20:04;19,7;17;9,6;17;05:29;09:09;13:44;17:34
08:06;12:56;16:06;20:06;20,5;171;8,8;17;05:28;09:08;13:43;17:33
08:07;12:57;16:07;20:07;208;8,5;05:26;09:06;13:41;17:31
08:13;13:03;16:13;20:13;233;6,0;05:21;09:01;13:36;17:26
08:15;13:05;16:15;20:15;245;4,8;05:18;08:58;13:33;17:23
08:21;13:11;16:21;20:21;264;29;05:13;08:53;13:28;17:18
08:28;13:18;16:28;16:28;29,3;0,0;05:051;08:45;13:20;17:10
