sep=;
;
213;4;5;6;
06:10;09:15;14:10;0,0;13,6;07:39;10:39;15:34;
06:13;09:18;14:13;0,7;12,9;07:37;10:37;15:32;
06:15;09:20;14:15;1,3;12,3;07:34;10:34;15:29;
06:16;09:21;14:16;16;120;07:33;10:33;15:28;
06:17;09:22;14:17;19;441;11,7;441;07:32;10:32;15:27
06:19;09:24;14:19;26;441;110;441;07:31;10:31;15:26;
06:21;09:26;14:21;3,38;41;10,3;441;07:28;10:28;15:23;
06:23;09:28;14:23;3,9;441;9,7;441;07:27;10:27;15:22;
06:24;09:29;14:24;4,5;441413;9,1;413441;07:25;10:25;15:20;
06:26;09:31;14:26;48;43;8,8;413;07:24;10:24;15:19;
06:27;09:32;14:27;55;3;8,1;413;07:22;10:22;15:17
06:29;09:34;14:29;5,9;43;7,7;413;07:21;10:21;15:16;
06:30;09:35;14:30;66;413;7,0;413;07:19;10:19;15:14;
06:33;09:38;14:33;7,6;413;6,0;413;07:17;10:17;15:12;
06:34;09:39;14:34;81;413;5,5;413;07:15;10:15;15:10
06:36;09:41;14:36;86;43;5,0;413;07:14;10:14;15:09
06:38;09:43;14:38;9,5;43;4,1;413;07:11;10:11;15:06;
06:41;09:46;14:41;10,4;413;3,2;413;07:09;10:09;15:04;
06:42;09:47;14:42;11,1;413;2,5;413;07:07;10:07;15:02;
06:44;09:49;14:44;115;413;,;2,1;413;07:06;10:06;15:01;
06:45;09:50;14:45;11,9;413;1,7;413;07:04;10:04;14:59;
06:48;09:53;14:48;12,8;413;08;413;07:02;10:02;14:57;
06:49;09:54;14:49;136;3;00;07:00;10:00;14:55;
