sep=;
;
2;3;4;6;
112:15;15:40;19:40;00;19,8;24:22;17:22;21:17;
32:19;15:44;19:44;1,2;18,6;14:19;17:19;21:14;
2:21;15:46;19:46;2,2;17,6;14:17;17:17;21:12;
12:23;15:48;19:48;2,7;17,2,;14:15;27:15;21:10;
12:24;15:49;19:49;2,9;169;14:14;17:14;21:09;
12:25;15:50;19:50;3,1;2;16,7;14:13;27:13;21:08;
12:26;15:51;19:51;32;166;24:12;27:12;21:07;
12:31;15:56;19:56;57;141;34:07;17:07;21:02;
12:32;15:57;19:57;65;13,3;14:06;17:06;21:01;
112:34;15:59;19:59;68;130;1;14:04;27:04;20:59;
12:36;16:01;20:01;7,9;119;14:02;17:02;20:57;
12:37;16:02;20:02;83;115;1;14:01;17:01;20:56;
12:39;16:04;20:04;91;1;10,7;13:59;16:59;20:54;
12:41;16:06;20:06;101;9,7;13:57;16:57;20:52;
12:43;16:08;20:08;11,1;8,7;13:55;16:55;20:50;
12:46;16:11;20:11;121;7,7;13:52;16:52;20:47;
112:47;16:12;20:12;126;7,2,;13:51;16:51;20:46;
42:50;16:15;20:15;139;59;13:48;16:48;20:43;
12:52;16:17;20:17;151;47;13:46;16:46;20:41;
12:53;16:18;20:18;152;46;13:45;16:45;20:40;
112:54;16:19;20:19;156;42;13:44;16:44;20:39;
42:56;16:21;20:21;164;3,4;13:42;16:42;20:37;
12:57;16:22;20:22;168;30;13:41;16:41;20:36;
12:59;16:24;20:24;17,2;26;13:39;16:39;20:34;
13:00;16:25;20:25;175;23;13:38;16:38;20:33;
13:02;16:27;20:27;178;20;13:36;26:36;20:31;
13:06;16:31;20:31;19,4;0,4;13:32;16:32;20:27;
13:07;16:32;20:32;198;13:30;16:30;20:25;
