sep=;
;
2374;105;167;7;1;9;107;11;7;12;7;13;1;14;
06:25;07:45;11:35;13:05;16:15;19:45;23:45;1,2;10,2;06:21;07:31;09:11;12:56;14:26;17:41;22:11
06:29;07:49;11:39;13:09;16:19;19:49;23:49;2,2;9,2;06:17;07:27;09:07;12:52;14:22;17:37;22:07
06:31;07:51;11:41;13:11;16:21;19:51;23:51;26;88;06:15;07:25;09:05;12:50;14:20;17:35;22:05
06:35;07:55;11:45;13:15;16:25;19:55;23:55;3,4;8,0;06:11;07:21;09:01;12:46;14:16;17:31;22:01
06:39;07:59;11:49;13:19;16:29;19:59;23:59;4,1;7,3;06:07;07:17;08:57;12:42;14:12;17:27;21:57
06:41;08:01;11:51;13:21;16:31;20:01;00:01;4,4;7,0;06:05;07:15;08:55;12:40;14:10;17:25;21:55
06:44;08:04;11:54;13:24;16:34;20:04;00:04;4,7;6,7;06:02;07:12;08:52;12:37;14:07;17:22;21:52
06:46;08:06;11:56;13:26;16:36;20:06;00:06;5,1;6,3;06:00;07:10;08:50;12:35;14:05;17:20;21:50
06:49;08:09;11:59;13:29;16:39;20:09;00:09;5,8;5,6;05:57;07:07;08:47;12:32;14:02;17:17;21:47
06:56;08:16;12:06;13:36;16:46;20:16;00:16;84;30;05:50;07:00;08:40;12:25;13:55;17:10;21:40
06:59;08:19;12:09;13:39;16:49;20:19;00:19;9,1;2,33;05:47;06:57;08:37;12:22;13:52;17:07;21:37
8;2;15:70;3
07:05;08:25;12:15;13:45;16:55;20:25;00:25;141;03;05:41;06:51;08:31;12:16;13:46;17:01;21:31
07:06;08:26;12:16;13:46;16:56;20:26;00:26;114;05:40:406:0;:30;12:15;13:45;17:00;21:30
