sep=;
;6;7;
06:10;09:00;12:20;15:40;23:30;0,0;24,6;07:25;10:15;13:35;16:55;00:45
06:13;09:03;12:23;15:43;23:33;0,7;13,9;07:20;10:10;13:30;16:50;00:40
06:16;09:06;12:26;15:46;23:36;1,6;13,0;07:15;10:05;13:25;16:45;00:35
06:20;09:10;12:30;15:50;23:38;25;121;07:13;10:03;13:21;16:41;00:311
06:21;09:11;12:31;15:51;23:38;3,3;445;11,3;07:10;10:00;13:20;16:40;00:30
06:24;09:14;12:34;15:54;23:41;5,0;445;445;96;07:07;09:57;13:17;16:37;00:27
06:25;09:15;12:35;15:55;23:42;54;44;9,2;07:05;09:55;13:15;16:35;00:25
06:26;09:16;12:36;15:56;23:43;5,5;445;445;9,1;07:04;09:54;13:14;16:34;00:24
06:30;09:20;12:40;16:00;23:47;6,0;445;4;8,6;07:02;09:52;13:12;16:32;00:22
06:42;09:32;12:52;16:12;23:59;10,3;45;445;4,3;06:55;09:45;13:05;16:25;00:15
06:43;09:33;12:53;16:13;00:00;14,2;445;445;0,4;06:47;09:37;12:57;16:17;00:07
